日期,1513.TW價,6414.TW價,Z-Score,持倉,未實現損益,累計已實現損益,凍結保證金,帳戶淨值,動作
2022-06-10,45.29094314575195,194.31016540527344,3.187184639310783,-1,-17392.39501953131,6829.861058807248,64692.299308776855,189437.46603927593,
2022-06-13,44.09907913208008,184.46624755859372,1.8076053594163812,-1,-88.287353515625,6829.861058807248,61712.638206481926,206741.5737052916,
2022-06-14,43.52521896362305,181.4702911376953,1.4047062110751347,-1,4755.905151367131,6829.861058807248,60748.78772735596,211585.76621017436,
2022-06-15,42.42163848876953,178.47430419921875,1.0800868171752276,-1,8540.718078613225,6829.861058807248,59641.904525756836,215370.57913742046,
2022-06-16,42.06848907470703,174.6223602294922,0.5432063304482032,-1,15538.307189941348,6829.861058807248,58506.52931213379,222368.16824874858,
2022-06-17,42.33335113525391,171.62637329101562,0.052339035902921854,-1,22060.005187988238,6829.861058807248,57769.12559509277,228889.86624679546,
2022-06-20,41.406341552734375,168.202392578125,-0.3277826117025018,0,0.0,33815.42415817242,0.0,233815.42415817242,"平倉: 空Spread, 損益=+26,986"
2022-06-21,42.86307144165039,172.9103546142578,0.1559130560967601,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-06-22,43.30450439453125,167.34642028808594,-0.7211867870167276,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-06-23,43.216217041015625,170.7703857421875,-0.2051038811307521,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-06-24,47.49810791015625,173.766357421875,-0.37925839667354827,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-06-27,48.46925735473633,181.4702911376953,0.6046723327476972,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-06-28,48.55754470825195,180.61428833007807,0.44807481076168354,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-06-29,48.02782440185547,184.8942413330078,1.1241951647472892,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-06-30,48.64583206176758,183.1822509765625,0.759299901483242,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-01,48.99897766113281,174.19435119628906,-0.618249779780814,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-04,49.08726119995117,174.19435119628906,-0.6308852943023613,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-05,48.29268646240234,180.61428833007807,0.415153821858544,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-06,47.762969970703125,181.8982696533203,0.6541963900073882,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-07,48.99897766113281,174.19435119628906,-0.6839715128991375,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-08,47.85125732421875,172.4823455810547,-0.7746006089646039,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-11,48.55754470825195,176.7623291015625,-0.24445033728261928,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-12,47.762969970703125,172.9103546142578,-0.7236032872493044,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-13,48.3809700012207,185.3222503662109,1.0398474759001723,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-14,49.793556213378906,190.45819091796875,1.5476513128758806,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-15,47.6746826171875,190.0301971435547,1.7385907138851235,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-18,48.20439910888672,190.0301971435547,1.6226877006831482,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-19,48.20439910888672,191.31417846679688,1.7438252222941155,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-20,47.762969970703125,192.5981903076172,1.8916399195855598,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-21,47.58639526367188,190.0301971435547,1.5036908794958692,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-22,48.3809700012207,191.31417846679688,1.5208052311323998,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-25,49.21833801269531,190.45819091796875,1.2562563622659566,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-26,49.68354034423828,186.17822265625,0.5915692378896202,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-27,50.61394119262695,189.1741943359375,0.8510808023943006,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-28,52.753868103027344,187.0342254638672,0.24774301706487353,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-07-29,54.14947509765625,190.12936401367188,0.4710709404225858,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-08-01,54.98683547973633,191.4558258056641,0.5200183028387907,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-08-02,54.800758361816406,187.9185485839844,-0.0005149551482473909,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-08-03,53.68427276611328,187.9185485839844,0.1365621697114498,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-08-04,53.312110900878906,195.43528747558597,1.3048706776325234,0,0.0,33815.42415817242,0.0,233815.42415817242,
2022-08-05,53.68427276611328,205.162841796875,2.5812747466161228,-1,0.0,33745.0702735899,69888.72093200685,233745.0702735899,"開倉: 空Spread (空6414.TW×1, 多1513.TW×1)"
2022-08-08,54.24251174926758,207.37364196777344,2.6439177052542897,-1,-3305.1223754882812,33745.0702735899,70636.36150360109,230439.94789810161,
2022-08-09,54.33555603027344,207.8157958984375,2.54153757020357,-1,-4003.3416748046875,33745.0702735899,70780.86502075197,229741.7285987852,
2022-08-10,57.21979904174805,210.46876525878903,2.3706387677843646,-1,-3540.7943725585374,33745.0702735899,72275.91236114502,230204.27590103136,
2022-08-11,58.522369384765625,214.44821166992188,2.533863946927507,-1,-8894.546508789062,33745.0702735899,73702.05688476564,224850.52376480083,
2022-08-12,58.70845031738281,203.8363494873047,1.1374452192783049,-1,12701.339721679688,33745.0702735899,70887.09594726562,246446.40999526958,
2022-08-15,60.19709014892578,202.0677032470703,0.7142519517128663,-1,19215.911865234375,33745.0702735899,70811.49421691895,252960.98213882427,
2022-08-16,57.77804565429688,203.8363494873047,1.183095232681343,-1,10840.530395507827,33745.0702735899,70635.88668823242,244585.60066909774,
2022-08-17,57.68500518798828,201.62554931640625,0.8898742350234958,-1,15076.0498046875,33745.0702735899,70013.84971618652,248821.1200782774,
2022-08-18,59.54581451416016,203.39419555664065,0.8620436395473757,-1,15260.375976562458,33745.0702735899,70993.80271911623,249005.44625015237,
