Pair,Stock1,Stock2,Price_Corr,Coint_pvalue,Coint_score
1909.TW-8044.TWO,1909.TW,8044.TWO,0.8729024425808634,0.004315512026627312,-4.1514861000405
2515.TW-1513.TW,2515.TW,1513.TW,0.8655885821108433,0.004319210225545098,-4.151237078164339
1718.TW-1101.TW,1718.TW,1101.TW,0.8716511204073443,0.004606923091284029,-4.132436367521031
2454.TW-2312.TW,2454.TW,2312.TW,0.8556630813478864,0.004683061767884457,-4.127640562673484
2308.TW-8039.TW,2308.TW,8039.TW,0.9312585126095925,0.004687727165247777,-4.127349017524137
6153.TW-6269.TW,6153.TW,6269.TW,0.9110328915568398,0.00476154786596056,-4.1227707634763355
2603.TW-6005.TW,2603.TW,6005.TW,0.863358664820006,0.004816527092976867,-4.1194028856622475
2603.TW-2454.TW,2603.TW,2454.TW,0.8805116508874352,0.004866564691889904,-4.116368037290367
2474.TW-1216.TW,2474.TW,1216.TW,0.9249836047965654,0.0048959846582370126,-4.1145969241099385
6510.TWO-6223.TWO,6510.TWO,6223.TWO,0.9277390434108267,0.004900751058500919,-4.1143108949447305
2002.TW-1565.TWO,2002.TW,1565.TWO,0.8500080948642483,0.005074760457780021,-4.104038366731302
00679B.TWO-1718.TW,00679B.TWO,1718.TW,0.8609644492983335,0.0051454092334859095,-4.099958969703792
6139.TW-3653.TW,6139.TW,3653.TW,0.959988633965833,0.005175662625652586,-4.098227649758976
6239.TW-3017.TW,6239.TW,3017.TW,0.8793919856616919,0.005204479480987598,-4.096587080867596
6153.TW-3552.TWO,6153.TW,3552.TWO,0.8823346583259956,0.00540940680490506,-4.085153111274416
1609.TW-1503.TW,1609.TW,1503.TW,0.943036125085829,0.005467030559768618,-4.082008934861433
6547.TWO-1312.TW,6547.TWO,1312.TW,0.8866281302654517,0.005490896008847091,-4.080715555442892
2439.TW-6121.TWO,2439.TW,6121.TWO,0.8729459584929724,0.005502011953529667,-4.080114873685126
1503.TW-2376.TW,1503.TW,2376.TW,0.8575433878697645,0.005521088346585285,-4.079086591600296
2392.TW-2520.TW,2392.TW,2520.TW,0.8883191326345939,0.005597252759515805,-4.075012982450598
6510.TWO-8039.TW,6510.TWO,8039.TW,0.900390402118416,0.005628751007700394,-4.073343017620593
00687B.TWO-3691.TWO,00687B.TWO,3691.TWO,0.8531376561474107,0.005982460262911143,-4.055150931533051
6290.TWO-6274.TWO,6290.TWO,6274.TWO,0.9633934638159906,0.006105588539163948,-4.049046628128428
6414.TW-2376.TW,6414.TW,2376.TW,0.921763538800067,0.006108598221385128,-4.048898819664219
1718.TW-3714.TW,1718.TW,3714.TW,0.886863581989237,0.006113803875638208,-4.04864332058127
2439.TW-4938.TW,2439.TW,4938.TW,0.8546901057215961,0.006114940683871462,-4.048587551046599
6510.TWO-6274.TWO,6510.TWO,6274.TWO,0.907674899489292,0.00616109746945723,-4.046331089325931
2439.TW-6176.TW,2439.TW,6176.TW,0.8690609808141566,0.006340051022864444,-4.037724975582159
2449.TW-6139.TW,2449.TW,6139.TW,0.9646428339822468,0.006585070048378316,-4.026291676745027
8039.TW-5274.TWO,8039.TW,5274.TWO,0.9465364966863403,0.006729897416493992,-4.019713332473378
8299.TWO-5274.TWO,8299.TWO,5274.TWO,0.9063633617030102,0.00679974494289429,-4.0165863528350165
00687B.TWO-1718.TW,00687B.TWO,1718.TW,0.8523609106102701,0.006836539239305876,-4.014950778974732
2474.TW-2439.TW,2474.TW,2439.TW,0.8815054995952845,0.006967527624751036,-4.009191955841494
3036.TW-3044.TW,3036.TW,3044.TW,0.8958352436527154,0.007029815378709341,-4.006487748052914
6257.TW-2383.TW,6257.TW,2383.TW,0.9443780162113918,0.007100329177452465,-4.003452397859243
8039.TW-3711.TW,8039.TW,3711.TW,0.9346543602096998,0.007139882049640104,-4.001761691521868
2515.TW-3702.TW,2515.TW,3702.TW,0.8513880024587459,0.007172725037269917,-4.000364214964142
3706.TW-2404.TW,3706.TW,2404.TW,0.942122859970785,0.007297696496204626,-3.995098910902377
2308.TW-2383.TW,2308.TW,2383.TW,0.9687546759117011,0.007310208763204393,-3.9945762330871073
2382.TW-6188.TWO,2382.TW,6188.TWO,0.9648552805578477,0.007312740968139424,-3.994470552906517
6510.TWO-2383.TW,6510.TWO,2383.TW,0.931081528356549,0.007467565795719908,-3.9880709004663712
