股票期貨、 選擇權 商品代碼,標的證券,證券代號,標的證券 簡稱,是否為 股票期貨 標的,是否為 股票選擇權 標的,是否為 股票選擇權週契約 標的,上市普通股 標的證券,上櫃普通股 標的證券,上市ETF 標的證券,上櫃ETF 標的證券,標準型證 券股數/ 受益權單位,一般交易時段 交易時間 (期貨、選擇權契約),盤後交易時段 交易時間 (期貨契約)
QW,威盛電子股份有限公司,2388,威盛,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
QX,萬海航運股份有限公司,2615,萬海,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
QY,高端疫苗生物製劑股份有限公司,6547,高端疫苗,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
QZ,力晶積成電子製造股份有限公司,6770,力積電,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
RA,奇鋐科技股份有限公司,3017,奇鋐,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
RB,中磊電子股份有限公司,5388,中磊,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
RC,漢翔航空工業股份有限公司,2634,漢翔,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
RD,中天生物科技股份有限公司,4128,中天,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
RE,新唐科技股份有限公司,4919,新唐,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
RF,嘉澤端子工業股份有限公司,3533,嘉澤,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
RG,健策精密工業股份有限公司,3653,健策,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
RI,國泰台灣高股息傘型證券投資信託基金之台灣ESG永續高股息ETF證券投資信託基金,00878,國泰永續高股息ETF,●  是股票期貨標的,,,,,◎  是上市ETF標的證券,,10000.0,8:45~13:45,-
RJ,大亞電線電纜股份有限公司,1609,大亞,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
RK,金像電子股份有限公司,2368,金像電,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
RL,元晶太陽能科技股份有限公司,6443,元晶,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
RN,合一生技股份有限公司,4743,合一,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
RO,立端科技股份有限公司,6245,立端,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
